country;category;year;value
Canada;anninc;1970;25736.2474
Canada;anninc;1971;25980.7545
Canada;anninc;1972;27086.435
Canada;anninc;1973;28383.9365
Canada;anninc;1974;28739.961
Canada;anninc;1975;28304.299
Canada;anninc;1976;28993.1689
Canada;anninc;1977;29061.2931
Canada;anninc;1978;29488.4023
Canada;anninc;1979;29761.0211
Canada;anninc;1980;29623.8192
Canada;anninc;1981;29850.1301
Canada;anninc;1982;28173.6254
Canada;anninc;1983;28380.3055
Canada;anninc;1984;29473.5018
Canada;anninc;1985;30380.1386
Canada;anninc;1986;30393.8309
Canada;anninc;1987;31338.1357
Canada;anninc;1988;32613.8644
Canada;anninc;1989;32725.7105
Canada;anninc;1990;31982.9181
Canada;anninc;1991;30839.7828
Canada;anninc;1992;30466.4264
Canada;anninc;1993;30790.4186
Canada;anninc;1994;31894.1683
Canada;anninc;1995;32479.5055
Canada;anninc;1996;32592.1135
Canada;anninc;1997;33712.8947
Canada;anninc;1998;34586.8004
Canada;anninc;1999;36184.4687
Canada;anninc;2000;37936.1376
Canada;anninc;2001;37690.2068
Canada;anninc;2002;38382.7121
Canada;anninc;2003;38658.8313
Canada;anninc;2004;39621.2169
Canada;anninc;2005;40400.3909
Canada;anninc;2006;41411.2504
Canada;anninc;2007;41590.2084
Canada;anninc;2008;41076.043
Canada;anninc;2009;38937.8587
Canada;anninc;2010;39667.7795
Canada;anninc;2011;39915.6259
Canada;anninc;2012;40581.4692
Canada;anninc;2013;41062.8644
Canada;anninc;2014;41762.3182
Canada;anninc;2015;41278.6155
Canada;anninc;2016;41242.5931
Canada;anninc;2017;42248.8246
Canada;anninc;2018;42589.4436
Canada;anninc;2019;42284.4639
Canada;anninc;2020;39175.5653
Canada;anninc;2021;40789.4532
Canada;anninc;2022;41909.1112
Canada;agdpro;1950;16867.7079
Canada;agdpro;1951;17478.0871
Canada;agdpro;1952;18329.6532
Canada;agdpro;1953;18751.3403
Canada;agdpro;1954;18222.2671
Canada;agdpro;1955;19532.3002
Canada;agdpro;1956;20685.1829
Canada;agdpro;1957;20826.6741
Canada;agdpro;1958;20785.1574
Canada;agdpro;1959;21259.7295
Canada;agdpro;1960;21585.6217
Canada;agdpro;1961;22667.1737
Canada;agdpro;1962;24024.5749
Canada;agdpro;1963;24893.5279
Canada;agdpro;1964;25977.5319
Canada;agdpro;1965;27078.4769
Canada;agdpro;1966;28240.053
Canada;agdpro;1967;28423.4509
Canada;agdpro;1968;29076.9629
Canada;agdpro;1969;29850.4553
Canada;agdpro;1970;29629.3301
Canada;agdpro;1971;29885.7863
Canada;agdpro;1972;30942.8741
Canada;agdpro;1973;32408.1073
Canada;agdpro;1974;32862.1161
Canada;agdpro;1975;32528.8122
Canada;agdpro;1976;33387.1771
Canada;agdpro;1977;33604.5686
Canada;agdpro;1978;34247.158
Canada;agdpro;1979;34738.3369
Canada;agdpro;1980;34722.789
Canada;agdpro;1981;35187.9433
Canada;agdpro;1982;33371.5735
Canada;agdpro;1983;33438.1674
Canada;agdpro;1984;34718.0522
Canada;agdpro;1985;35825.4615
Canada;agdpro;1986;35999.5531
Canada;agdpro;1987;36864.7723
Canada;agdpro;1988;38210.6938
Canada;agdpro;1989;38428.1967
Canada;agdpro;1990;37789.2296
Canada;agdpro;1991;36477.4689
Canada;agdpro;1992;36248.9319
Canada;agdpro;1993;36592.7683
Canada;agdpro;1994;37924.9251
Canada;agdpro;1995;38522.6542
Canada;agdpro;1996;38688.3867
Canada;agdpro;1997;39806.6628
Canada;agdpro;1998;40981.3905
Canada;agdpro;1999;42763.098
Canada;agdpro;2000;44427.3885
Canada;agdpro;2001;44514.9358
Canada;agdpro;2002;45141.03
Canada;agdpro;2003;45382.1613
Canada;agdpro;2004;46185.1333
Canada;agdpro;2005;46958.7372
Canada;agdpro;2006;47661.6792
Canada;agdpro;2007;48012.8157
Canada;agdpro;2008;47693.9452
Canada;agdpro;2009;45692.3941
Canada;agdpro;2010;46505.1742
Canada;agdpro;2011;46947.7033
Canada;agdpro;2012;47110.6494
Canada;agdpro;2013;47552.1754
Canada;agdpro;2014;48329.3458
Canada;agdpro;2015;48122.2081
Canada;agdpro;2016;48030.0354
Canada;agdpro;2017;48825.6515
Canada;agdpro;2018;49445.3371
Canada;agdpro;2019;49615.4163
Canada;agdpro;2020;46422.5866
Canada;agdpro;2021;48038.5059
Canada;agdpro;2022;49171.8841
Danemark;anninc;1950;13644.7947
Danemark;anninc;1951;13619.9812
Danemark;anninc;1952;13640.5198
Danemark;anninc;1953;14402.4056
Danemark;anninc;1954;14581.0629
Danemark;anninc;1955;14603.9188
Danemark;anninc;1956;14629.4307
Danemark;anninc;1957;15717.585
Danemark;anninc;1958;15901.2896
Danemark;anninc;1959;17024.1194
Danemark;anninc;1960;17308.2103
Danemark;anninc;1961;18299.4596
Danemark;anninc;1962;19153.256
Danemark;anninc;1963;18940.8968
Danemark;anninc;1964;20606.8725
Danemark;anninc;1965;21256.6055
Danemark;anninc;1966;21627.4537
Danemark;anninc;1967;22742.5273
Danemark;anninc;1968;23771.7535
Danemark;anninc;1969;25531.9888
Danemark;anninc;1970;25744.7395
