"","X","ktnr","ktname","Einheit","stpf","snpstbetr","mean_stbetr","median_stbetr","gini_stbetr","mean_steink","median_steink","gini_steink","mean_steinka","median_steinka","gini_steinka","mean_reink","median_reink","gini_reink","mean_reinka","median_reinka","gini_reinka","p1","p5","p10","p20","p25","p30","p40","p50","p60","p70","p75","p80","p90","p95","p96","p97","p98","p99","p99_5","p99_9","p99_99","stpfo","stpf_100","stpf_200","stpf_300","stpf_400","stpf_500","stpf_600","stpf_700","stpf_800","stpf_900","stpf_1000","stpf_1100","stpf_1200","stpf_1300","stpf_1400","stpf_1500","stpf_1600","stpf_1700","stpf_1800","stpf_1900","stpf_2000","stpf_u2000","year","Einheit.ID"
"44",44,18,"GR","Total",124415,130.406,1048,190,0.819,40448,33200,0.502,30512.841796875,26000,0.482197433710098,44995,36700,0.493,33195.61328125,29700,0.460373252630234,0,0,0,6500,10900,15900,25000,33200,40700,49200,54300,60500,80000,102900,112000,124900,147300,199600,269900,579700,1665100,28834,29790,12620,14632,16282,14720,10981,7712,5189,3438,2315,1508,1040,835,521,458,341,256,226,173,139,1239,1998,NA
"45",45,19,"AG","Total",297910,371.18,1246,342,0.773,49316,42900,0.41,36324.98828125,32800,0.387275755405426,55445,48200,0.397,39961.375,36800,0.355496853590012,0,0,4300,20200,25200,29400,36400,42900,49800,58100,63200,69400,89600,112800,121200,133400,153000,197700,263900,499000,1550800,47410,39481,19268,32641,44148,44025,34567,25359,17369,11594,7992,5380,3792,2641,1860,1459,1062,832,624,507,416,2893,1998,NA
"46",46,20,"TG","Total",123560,127.443,1031,242,0.794,44008,38300,0.436,32649.06640625,29133.333984375,0.421464055776596,49600,43100,0.422,35895.44140625,32900,0.388134807348251,0,0,0,15900,21200,25200,32200,38300,44800,52300,56900,62600,80500,101700,109700,121800,142000,185000,243800,507600,1705900,22625,20203,8897,16135,19777,17934,13249,8893,5848,3666,2432,1605,1057,756,548,426,314,272,210,181,143,1014,1998,NA
"47",47,21,"TI","Total",186388,212.581,1141,191,0.828,40767,33800,0.509,30740.923828125,26538.4609375,0.486697286367416,45013,37600,0.5,33350.82421875,30111.111328125,0.465440332889557,0,0,0,0,12500,18800,27100,33800,40700,48600,53500,59500,79100,104600,114600,130700,157000,219000,310200,615400,1673700,35688,45517,12758,24105,27519,23225,16537,11324,7213,4709,3126,2126,1507,1060,811,720,551,422,361,298,245,2254,1998,NA
"48",48,22,"VD","Total",366914,520.885,1420,230,0.83,46444,37000,0.509,34431,29300,0.48270508646965,51983,41300,0.486,37817.6796875,33111.109375,0.446593254804611,0,0,0,0,17400,22600,30100,37000,44500,53800,59500,66600,90400,120200,131800,148800,175900,237700,333700,702800,2791700,71348,80471,19263,45605,53167,44266,33764,24374,16942,11850,8348,6047,4324,3291,2526,1850,1612,1244,1012,827,702,5429,1998,NA
"49",49,23,"VS","Total",184866,118.761,642,151,0.793,32889,29600,0.524,24208.833984375,22562.5,0.507504642009735,37392,32700,0.522,26804.984375,26714.28515625,0.488167613744736,0,0,0,0,2000,4600,21200,29600,36700,44400,48700,53800,69000,85100,91100,99800,113300,147500,198700,359500,1078200,43074,62026,9371,21893,25712,22098,15748,10271,6277,3730,2219,1438,959,618,418,305,286,189,139,151,108,910,1998,NA
"50",50,24,"NE","Total",98608,92.447,938,184,0.801,40237,35400,0.488,29722.125,27666.666015625,0.461172848939896,45150,39000,0.482,32642.673828125,31500,0.439186990261078,0,0,0,0,14900,20800,28800,35400,42400,50600,55600,61600,79600,100200,108100,119300,137500,179900,241700,478900,NA,21512,24496,4253,12265,14827,12463,9271,6813,4503,2883,1864,1219,835,605,418,321,229,212,145,103,102,781,1998,NA
"51",51,25,"GE","Total",239987,430.157,1792,197,0.86,49157,37600,0.571,36907.38671875,29500,0.552752733230591,53079,41400,0.564,39299.44921875,33100,0.536084353923798,0,0,0,0,0,16400,28100,37600,47000,57500,63800,71400,97700,131200,144300,163200,193000,263500,369500,9e+05,6313200,70819,68879,9237,22080,25658,25225,21668,17063,12351,8680,6332,4555,3445,2508,2023,1554,1198,1008,806,715,579,4423,1998,NA
"52",52,26,"JU","Total",39667,24.241,611,145,0.783,37547,33300,0.424,27849.24609375,25761.904296875,0.39769920706749,43045,37900,0.419,31115.05859375,29666.666015625,0.370268553495407,0,0,0,14100,18400,21600,27500,33300,39300,46500,50900,56100,70700,86800,92600,100700,114000,141600,192200,374400,NA,8649,6712,4030,6793,6681,5100,3675,2548,1474,889,537,332,231,149,101,58,56,46,33,19,23,180,1998,NA
"53",53,1,"ZH","Total",726023,1384.797,1907,312,0.842,56729,44000,0.48,43311.96875,35200,0.456603616476059,61983,48500,0.465,46566.40234375,39000,0.429833948612213,0,0,3700,17900,22900,28000,36400,44000,52000,61700,67900,75400,102200,138000,152400,174300,211100,297700,430500,1075700,4069800,141348,102275,55640,74557,90725,93075,78954,59966,42454,30472,20989,15596,11074,8502,6505,4960,4084,3164,2658,2219,1833,16321,1999,NA
"54",54,12,"BS","Total",118094,204.526,1732,288,0.843,54199,42600,0.476,42746.5234375,35400,0.447299540042877,59179,46800,0.459,46039.0078125,38900,0.418461978435516,0,0,4200,17100,21800,26400,35000,42600,50500,59600,65200,72300,96600,127800,140200,158300,188200,262400,385300,983600,6958400,23208,16267,10843,12738,15116,15081,13032,9606,6748,4597,3232,2202,1727,1239,911,729,563,452,409,288,238,2076,1999,NA
"55",55,20,"TG","Total",122793,134.989,1099,183,0.84,46649,38500,0.445,34502.96875,29095.23828125,0.428136199712753,53539,44500,0.425,38545.63671875,33700,0.387689679861069,0,0,4300,17100,21500,25500,32400,38500,44900,52500,57100,62900,81400,103200,111700,124400,146400,194700,264900,564800,2471800,25805,17321,11077,16063,19706,18051,13076,8731,5814,3731,2402,1681,1069,779,562,419,322,278,218,187,163,1143,1999,NA
"56",56,1,"ZH","Total",718690,1527.837,2126,357,0.841,59805,45700,0.481,45869.5234375,36800,0.456251919269562,65296,50400,0.465,49274.9921875,40600,0.428705930709839,0,0,5200,19400,24400,29600,38000,45700,54000,64000,70300,78400,106700,145100,160900,184700,225100,321700,467200,1169700,4674400,130544,93357,53822,70991,86704,91113,79156,61187,44276,31640,22577,16675,12026,9290,6910,5370,4397,3571,2878,2447,2076,18227,2000,NA
"57",57,12,"BS","Total",114781,213.758,1862,304,0.846,55837,43400,0.48,43818.28125,35800,0.451297610998154,60906,47700,0.463,47151.7109375,39400,0.4222631752491,0,0,4800,17500,22100,26800,35600,43400,51500,60700,66400,73700,98800,132100,145000,166000,197900,279000,409300,1060700,7599200,22115,15441,10402,12280,14308,14304,12759,9588,6710,4603,3211,2316,1690,1230,957,712,534,477,405,338,273,2243,2000,NA
